Fecha,Tipo,cantidad
,Cuentas por Cobrar a Relacionadas,1164351.35
,Cuentas por Pagar Comerciales,17481503.41
,Cuentas por Pagar a Relacionadas,113699.51
,Efectivo y Equivalente de Efectivo,15721074.71
,Existencias,8592858.24
,Gastos Pagados por Anticipado y Otros Activos,9877818.93
,Impuestos por Recuperar,0
,"Inmueble, Maquinaria y Equipo, Neto",132476983.2
,Instrumento Financiero Derivados,1551570.25
,Instrumentos Financieros Derivados,0
,Inversiónes Mobiliarias,89718817.53
,Obligaciones Financieras,112110982.3
,Otras Cuenta por Cobrar Largo Plazo,309829.49
,Otras Cuentas por Pagar,-6976572.07
,Otras Cuentas por Pagar Largo Plazo,7391735.24
,Parte Corriente de Activo Biológico,24575762.11
,Pasivo por Impuesto a la Renta Diferido,11625472.94
,Porcion Corriente de Obligaciones Financieras,34264774.54
,Reserva Legal,32752998.29
,Resultados Acumulados,133899765.1
,Sobregiros Bancarios,234170.78
,ACTIVO_CORR,120880799.7
,ACTIVO_NCORR,314851137.2
,PASIVO_CORR,46669146.42
,PASIVO_NCORR,131128190.5
,CxC,62113285.67
,INVENTARIOS,33168620.35
,CxP,10618630.85
,CAPEX,74211653.24
,ACT_FIJ,314541307.7
,CASH,15721074.71
,DEUDA_TOT,146609927.7
,Cambios en el Valor Razonable de Activos Biológicos,0
,Costo de Venta - NIC 41,-837727.1
,Costo de Ventas,-24776385.88
,Depr. De Gastos de Administración,-85857.3
,Depr. De Gastos de Venta,-4243.14
,"Diferencia de Cambio, Neta",487235.64
,Gastos Financieros,-90081.7
,Gastos de Administración,-2154203.65
,Gastos de Venta,-4323182.44
,Impuesto a la Renta Corriente,0
,Impuesto a la Renta Diferido,0
,Ingresos Financieros,1335.39
,"Instrumentos Financieros, Netos",28609.24
,Otros Gastos,-116373.57
,Otros Gastos - NIC 41,-251380.31
,Otros Ingresos,604390.67
,Restitución de Derechos Arancelarios,1572929.48
,Ventas,51777342.81
,uti_bruta,27736159.31
,EBIT,21405309.57
,EBITDA,21495410.01
,EBT,21832408.14
,uti_neta,21832408.14
,costo_venta,-25614112.98
,EBDA,21922508.58
,ratio_liquidez,2.590165215
,ratio_rapido,1.87944683
,ratio_cash,0.336862272
,deuda_activos,0.336468171
,deuda_patrimonio,0.568399616
,apalancamiento,1.689311698
,cobertura_int,
,DEUDA_ESTR,56916537.27
,CAP_EMPL,389062790.5
,mg_ebitda,
,carga_impositiva,
,carga_intereses,
,mg_bruto,
,mg_neto,
,mg_operativo,
,ROA,
,ROE,
,ROCE,
,rotacion_trabajo,
,rotacion_fijos,
,rotacion_activos,
,rotacion_cxc,
,rotacion_inventarios,
,rotacion_cxp,
,dias_inventario,
,dias_cxc,
,dias_cxp,
,ciclo_operativo,
,ciclo_caja,
,anos_d_estr,
,Generacion_T_CAJA,
,DEUDA_ESTRUCTURAL,
,deuda_ebitda,
,ventas12M,
,utinet12M,
,EBITDA12M,
2018-03-01 00:00:00,PATRIMONIO,236102191.8
,RESULTEX,4006410.6
,ACTIVO_T,397918660.7
,PASIVO_T,157810058.3
,PATRIMONIO_T,240108602.4
,Activo Biológico,92386583.78
,Capital Social,69449428.39
,Cuentas por Cobrar Comerciales,24208442.71
,Cuentas por Cobrar a Relacionadas,1144595.38
,Cuentas por Pagar Comerciales,12696379.94
,Cuentas por Pagar a Relacionadas,116652.94
,Efectivo y Equivalente de Efectivo,10494015.79
,Existencias,8791600.86
,Gastos Pagados por Anticipado y Otros Activos,10297013.2
,Impuestos por Recuperar,0
,"Inmueble, Maquinaria y Equipo, Neto",132311864.5
,Instrumento Financiero Derivados,1454761.73
,Instrumentos Financieros Derivados,0
,Inversiónes Mobiliarias,89718817.53
,Obligaciones Financieras,111386572.9
,Otras Cuenta por Cobrar Largo Plazo,307722.67
,Otras Cuentas por Pagar,-7233474.86
,Otras Cuentas por Pagar Largo Plazo,7551469.91
,Parte Corriente de Activo Biológico,28258004.28
,Pasivo por Impuesto a la Renta Diferido,11625472.94
,Porcion Corriente de Obligaciones Financieras,20041817.51
,Reserva Legal,34978930.77
,Resultados Acumulados,131673832.6
,Sobregiros Bancarios,170405.27
,ACTIVO_CORR,83193672.22
,ACTIVO_NCORR,314724988.5
,PASIVO_CORR,27246542.53
,PASIVO_NCORR,130563515.8
,CxC,25353038.09
,INVENTARIOS,37049605.14
,CxP,5579558.02
,CAPEX,55947129.69
,ACT_FIJ,314417265.8
,CASH,10494015.79
,DEUDA_TOT,131598795.7
,Cambios en el Valor Razonable de Activos Biológicos,0
,Costo de Venta - NIC 41,-1256590.65
,Costo de Ventas,-25193644.01
,Depr. De Gastos de Administración,-128467.91
,Depr. De Gastos de Venta,-6377.37
,"Diferencia de Cambio, Neta",1241191.68
,Gastos Financieros,-1697639.1
,Gastos de Administración,-3545179.12
,Gastos de Venta,-4618245.19
,Impuesto a la Renta Corriente,0
,Impuesto a la Renta Diferido,0
,Ingresos Financieros,1415.63
,"Instrumentos Financieros, Netos",115392.23
,Otros Gastos,-116879.35
,Otros Gastos - NIC 41,-251380.31
,Otros Ingresos,743884.46
,Restitución de Derechos Arancelarios,-1171984.52
,Ventas,39890914.13
,uti_bruta,12268694.95
,EBIT,4346050.16
,EBITDA,4480895.44
,EBT,4006410.6
,uti_neta,4006410.6
,costo_venta,-26450234.66
,EBDA,4141255.88
,ratio_liquidez,3.053366207
,ratio_rapido,1.69357514
,ratio_cash,0.385150365
,deuda_activos,0.330717829
,deuda_patrimonio,0.548080304
,apalancamiento,1.6572445
,cobertura_int,
,DEUDA_ESTR,74616386.06
,CAP_EMPL,370672118.2
,mg_ebitda,
,carga_impositiva,
,carga_intereses,
,mg_bruto,
,mg_neto,
,mg_operativo,
,ROA,
,ROE,
,ROCE,
,rotacion_trabajo,
,rotacion_fijos,
,rotacion_activos,
,rotacion_cxc,
,rotacion_inventarios,
,rotacion_cxp,
,dias_inventario,
,dias_cxc,
,dias_cxp,
,ciclo_operativo,
,ciclo_caja,
,anos_d_estr,
,Generacion_T_CAJA,
,DEUDA_ESTRUCTURAL,
,deuda_ebitda,
,ventas12M,
,utinet12M,
,EBITDA12M,
2018-04-01 00:00:00,PATRIMONIO,236102191.8
,RESULTEX,2104242.02
,ACTIVO_T,380879279.5
,PASIVO_T,142672845.7
,PATRIMONIO_T,238206433.8
,Activo Biológico,92290341.8
,Capital Social,69449428.39
,Cuentas por Cobrar Comerciales,7076400.68
,Cuentas por Cobrar a Relacionadas,1168647.27
,Cuentas por Pagar Comerciales,6986041.43
,Cuentas por Pagar a Relacionadas,117081.92
,Efectivo y Equivalente de Efectivo,6897853.65
,Existencias,10032283.42
,Gastos Pagados por Anticipado y Otros Activos,10187523.72
,Impuestos por Recuperar,0
,"Inmueble, Maquinaria y Equipo, Neto",132063142.1
,Instrumento Financiero Derivados,1496542.02
,Instrumentos Financieros Derivados,0
,Inversiónes Mobiliarias,89718817.53
,Obligaciones Financieras,111800521.2
,Otras Cuenta por Cobrar Largo Plazo,307242.47
,Otras Cuentas por Pagar,-7741783.87
,Otras Cuentas por Pagar Largo Plazo,7540818.67
,Parte Corriente de Activo Biológico,31137026.79
,Pasivo por Impuesto a la Renta Diferido,11625472.94
,Porcion Corriente de Obligaciones Financieras,10623644.89
,Reserva Legal,34978930.77
,Resultados Acumulados,131673832.6
,Sobregiros Bancarios,224506.5
,ACTIVO_CORR,66499735.53
,ACTIVO_NCORR,314379543.9
,PASIVO_CORR,11706032.89
,PASIVO_NCORR,130966812.8
,CxC,8245047.95
,INVENTARIOS,41169310.21
,CxP,-638660.52
,CAPEX,54793702.64
,ACT_FIJ,314072301.5
,CASH,6897853.65
,DEUDA_TOT,122648672.5
,Cambios en el Valor Razonable de Activos Biológicos,0
,Costo de Venta - NIC 41,-1675454.2
,Costo de Ventas,-25586646.98
,Depr. De Gastos de Administración,-171380.14
,Depr. De Gastos de Venta,-8531.65
,"Diferencia de Cambio, Neta",766571.72
,Gastos Financieros,-1842902.26
,Gastos de Administración,-4430015.23
,Gastos de Venta,-4773378.85
,Impuesto a la Renta Corriente,0
,Impuesto a la Renta Diferido,0
,Ingresos Financieros,19259.63
,"Instrumentos Financieros, Netos",79018.3
,Otros Gastos,-117247.32
,Otros Gastos - NIC 41,-251380.31
,Otros Ingresos,803217.72
,Restitución de Derechos Arancelarios,-1171984.52
,Ventas,40465096.11
,uti_bruta,12031010.41
,EBIT,3082294.63
,EBITDA,3262206.42
,EBT,2104242.02
,uti_neta,2104242.02
,costo_venta,-27262101.18
,EBDA,2284153.81
,ratio_liquidez,5.680808875
,ratio_rapido,2.163877853
,ratio_cash,0.589256302
,deuda_activos,0.322014557
,deuda_patrimonio,0.514883963
,apalancamiento,1.598946231
,cobertura_int,
,DEUDA_ESTR,76173110.12
,CAP_EMPL,369173246.6
,mg_ebitda,
,carga_impositiva,
,carga_intereses,
,mg_bruto,
,mg_neto,
,mg_operativo,
,ROA,
,ROE,
,ROCE,
,rotacion_trabajo,
,rotacion_fijos,
,rotacion_activos,
,rotacion_cxc,
,rotacion_inventarios,
,rotacion_cxp,
,dias_inventario,
,dias_cxc,
,dias_cxp,
,ciclo_operativo,
,ciclo_caja,
,anos_d_estr,
,Generacion_T_CAJA,
,DEUDA_ESTRUCTURAL,
,deuda_ebitda,
,ventas12M,
,utinet12M,
,EBITDA12M,
2018-05-01 00:00:00,PATRIMONIO,226274191.8
,RESULTEX,-775978.63
,ACTIVO_T,389612988.2
,PASIVO_T,164114775
,PATRIMONIO_T,225498213.2
,Activo Biológico,92487475.34
,Capital Social,69449428.39
,Cuentas por Cobrar Comerciales,5610094.5
,Cuentas por Cobrar a Relacionadas,1336077.3
,Cuentas por Pagar Comerciales,6430530.52
,Cuentas por Pagar a Relacionadas,118255.34
,Efectivo y Equivalente de Efectivo,12542469.27
,Existencias,11157806.14
,Gastos Pagados por Anticipado y Otros Activos,10094338.72
,Impuestos por Recuperar,0
,"Inmueble, Maquinaria y Equipo, Neto",131700864.5
,Instrumento Financiero Derivados,1186527.19
,Instrumentos Financieros Derivados,24405.74
,Inversiónes Mobiliarias,89718817.53
,Obligaciones Financieras,121089887.4
,Otras Cuenta por Cobrar Largo Plazo,307509.88
,Otras Cuentas por Pagar,-8085027.75
,Otras Cuentas por Pagar Largo Plazo,16981522.34
,Parte Corriente de Activo Biológico,34633129.26
,Pasivo por Impuesto a la Renta Diferido,11625472.94
,Porcion Corriente de Obligaciones Financieras,14632154.47
,Reserva Legal,34978930.77
,Resultados Acumulados,121845832.6
,Sobregiros Bancarios,135452.49
,ACTIVO_CORR,75398320.93
,ACTIVO_NCORR,314214667.2
,PASIVO_CORR,14417892.26
,PASIVO_NCORR,149696882.7
,CxC,6946171.8
,INVENTARIOS,45790935.4
,CxP,-1536241.89
,CAPEX,60980428.67
,ACT_FIJ,313907157.3
,CASH,12542469.27
,DEUDA_TOT,135857494.4
,Cambios en el Valor Razonable de Activos Biológicos,0
,Costo de Venta - NIC 41,-2094317.75
,Costo de Ventas,-26243550.92
,Depr. De Gastos de Administración,-215162.45
,Depr. De Gastos de Venta,-10673.48
,"Diferencia de Cambio, Neta",-454320.19
,Gastos Financieros,-1895118.59
,Gastos de Administración,-6043905.68
,Gastos de Venta,-4941412.83
,Impuesto a la Renta Corriente,0
,Impuesto a la Renta Diferido,0
,Ingresos Financieros,19515.24
,"Instrumentos Financieros, Netos",427768.15
,Otros Gastos,-119038.08
,Otros Gastos - NIC 41,-251380.31
,Otros Ingresos,1317002.1
,Restitución de Derechos Arancelarios,-1171984.52
,Ventas,40900600.68
,uti_bruta,11390747.49
,EBIT,1126176.76
,EBITDA,1352012.69
,EBT,-775978.63
,uti_neta,-775978.63
,costo_venta,-28337868.67
,EBDA,-550142.7
,ratio_liquidez,5.229496765
,ratio_rapido,2.053516908
,ratio_cash,0.869923914
,deuda_activos,0.348698577
,deuda_patrimonio,0.602477033
,apalancamiento,1.727787474
,cobertura_int,
,DEUDA_ESTR,88716454.05
,CAP_EMPL,375195095.9
,mg_ebitda,
,carga_impositiva,
,carga_intereses,
,mg_bruto,
,mg_neto,
,mg_operativo,
,ROA,
,ROE,
,ROCE,
,rotacion_trabajo,
,rotacion_fijos,
,rotacion_activos,
,rotacion_cxc,
,rotacion_inventarios,
,rotacion_cxp,
,dias_inventario,
,dias_cxc,
,dias_cxp,
,ciclo_operativo,
,ciclo_caja,
,anos_d_estr,
,Generacion_T_CAJA,
,DEUDA_ESTRUCTURAL,
,deuda_ebitda,
,ventas12M,
,utinet12M,
,EBITDA12M,
2018-06-01 00:00:00,PATRIMONIO,226274191.8
,RESULTEX,-2902366.68
,ACTIVO_T,394712507.7
,PASIVO_T,171340682.6
,PATRIMONIO_T,223371825.1
,Activo Biológico,92192828.02
,Capital Social,69449428.39
,Cuentas por Cobrar Comerciales,4878698.31
,Cuentas por Cobrar a Relacionadas,1425409.79
,Cuentas por Pagar Comerciales,7680287.7
,Cuentas por Pagar a Relacionadas,118324.63
,Efectivo y Equivalente de Efectivo,12859346.18
,Existencias,13101824.65
,Gastos Pagados por Anticipado y Otros Activos,10452711.24
,Impuestos por Recuperar,0
,"Inmueble, Maquinaria y Equipo, Neto",132550265.1
,Instrumento Financiero Derivados,1177359.74
,Instrumentos Financieros Derivados,24398.28
,Inversiónes Mobiliarias,89718817.53
,Obligaciones Financieras,134258878.8
,Otras Cuenta por Cobrar Largo Plazo,306379.25
,Otras Cuentas por Pagar,-8491245.05
,Otras Cuentas por Pagar Largo Plazo,17155907.14
,Parte Corriente de Activo Biológico,37201829.37
,Pasivo por Impuesto a la Renta Diferido,11625472.94
,Porcion Corriente de Obligaciones Financieras,7405615.08
,Reserva Legal,34978930.77
,Resultados Acumulados,121845832.6
,Sobregiros Bancarios,410081.62
,ACTIVO_CORR,79944217.82
,ACTIVO_NCORR,314768289.9
,PASIVO_CORR,8300423.72
,PASIVO_NCORR,163040258.9
,CxC,6304108.1
,INVENTARIOS,50303654.02
,CxP,-692632.72
,CAPEX,71643794.1
,ACT_FIJ,314461910.7
,CASH,12859346.18
,DEUDA_TOT,142074575.5
,Cambios en el Valor Razonable de Activos Biológicos,0
,Costo de Venta - NIC 41,-2513181.3
,Costo de Ventas,-27303821.46
,Depr. De Gastos de Administración,-258828.5
,Depr. De Gastos de Venta,-12792.24
,"Diferencia de Cambio, Neta",-439867.65
,Gastos Financieros,-1933068.33
,Gastos de Administración,-7147369.84
,Gastos de Venta,-5733045.1
,Impuesto a la Renta Corriente,0
,Impuesto a la Renta Diferido,0
,Ingresos Financieros,21287.08
,"Instrumentos Financieros, Netos",437660.86
,Otros Gastos,-120207.44
,Otros Gastos - NIC 41,-251380.31
,Otros Ingresos,1588850.55
,Restitución de Derechos Arancelarios,-1171984.52
,Ventas,41935381.52
,uti_bruta,10946394.24
,EBIT,-988378.64
,EBITDA,-716757.9
,EBT,-2902366.68
,uti_neta,-2902366.68
,costo_venta,-29817002.76
,EBDA,-2630745.94
,ratio_liquidez,9.631341786
,ratio_rapido,3.570969965
,ratio_cash,1.549239727
,deuda_activos,0.359944447
,deuda_patrimonio,0.636045192
,apalancamiento,1.767064882
,cobertura_int,
,DEUDA_ESTR,91396464.78
,CAP_EMPL,386412084
,mg_ebitda,
,carga_impositiva,
,carga_intereses,
,mg_bruto,
,mg_neto,
,mg_operativo,
,ROA,
,ROE,
,ROCE,
,rotacion_trabajo,
,rotacion_fijos,
,rotacion_activos,
,rotacion_cxc,
,rotacion_inventarios,
,rotacion_cxp,
,dias_inventario,
,dias_cxc,
,dias_cxp,
,ciclo_operativo,
,ciclo_caja,
,anos_d_estr,
,Generacion_T_CAJA,
,DEUDA_ESTRUCTURAL,
,deuda_ebitda,
,ventas12M,
,utinet12M,
,EBITDA12M,
2018-07-01 00:00:00,PATRIMONIO,226274191.8
,RESULTEX,-4283574.07
,ACTIVO_T,399116399.2
,PASIVO_T,177125781.5
,PATRIMONIO_T,221990617.7
,Activo Biológico,91955941.7
,Capital Social,69449428.39
,Cuentas por Cobrar Comerciales,8902435.51
,Cuentas por Cobrar a Relacionadas,2044439.05
,Cuentas por Pagar Comerciales,9918584.46
,Cuentas por Pagar a Relacionadas,118254.02
,Efectivo y Equivalente de Efectivo,9669487.26
,Existencias,14576342.21
,Gastos Pagados por Anticipado y Otros Activos,10206380.58
,Impuestos por Recuperar,0
,"Inmueble, Maquinaria y Equipo, Neto",133378025.7
,Instrumento Financiero Derivados,1174305.45
,Instrumentos Financieros Derivados,24390.82
,Inversiónes Mobiliarias,89718817.53
,Obligaciones Financieras,134896001.7
,Otras Cuenta por Cobrar Largo Plazo,305249.29
,Otras Cuentas por Pagar,-5052071.6
,Otras Cuentas por Pagar Largo Plazo,16892723.19
,Parte Corriente de Activo Biológico,38334889.54
,Pasivo por Impuesto a la Renta Diferido,11625472.94
,Porcion Corriente de Obligaciones Financieras,7401091.17
,Reserva Legal,34978930.77
,Resultados Acumulados,121845832.6
,Sobregiros Bancarios,151420.14
,ACTIVO_CORR,83758364.97
,ACTIVO_NCORR,315358034.2
,PASIVO_CORR,13711583.64
,PASIVO_NCORR,163414197.8
,CxC,10946874.56
,INVENTARIOS,52911231.75
,CxP,4984766.88
,CAPEX,70046781.33
,ACT_FIJ,315052784.9
,CASH,9669487.26
,DEUDA_TOT,142448513
,Cambios en el Valor Razonable de Activos Biológicos,0
,Costo de Venta - NIC 41,-2932044.85
,Costo de Ventas,-31881644.51
,Depr. De Gastos de Administración,-301848.53
,Depr. De Gastos de Venta,-14985.7
,"Diferencia de Cambio, Neta",-356368.38
,Gastos Financieros,-1957892.13
,Gastos de Administración,-8165724.77
,Gastos de Venta,-6369484.9
,Impuesto a la Renta Corriente,0
,Impuesto a la Renta Diferido,0
,Ingresos Financieros,21713.3
,"Instrumentos Financieros, Netos",439995.93
,Otros Gastos,-126719.92
,Otros Gastos - NIC 41,-251380.31
,Otros Ingresos,1714626.37
,Restitución de Derechos Arancelarios,-1171984.52
,Ventas,47070168.85
,uti_bruta,11084494.97
,EBIT,-2431022.79
,EBITDA,-2114188.56
,EBT,-4283574.07
,uti_neta,-4283574.07
,costo_venta,-34813689.36
,EBDA,-3966739.84
,ratio_liquidez,6.108584331
,ratio_rapido,2.249713383
,ratio_cash,0.705205723
,deuda_activos,0.356909697
,deuda_patrimonio,0.641687088
,apalancamiento,1.797897602
,cobertura_int,
,DEUDA_ESTR,93367416.49
,CAP_EMPL,385404815.6
,mg_ebitda,
,carga_impositiva,
,carga_intereses,
,mg_bruto,
,mg_neto,
,mg_operativo,
,ROA,
,ROE,
,ROCE,
,rotacion_trabajo,
,rotacion_fijos,
,rotacion_activos,
,rotacion_cxc,
,rotacion_inventarios,
,rotacion_cxp,
,dias_inventario,
,dias_cxc,
,dias_cxp,
,ciclo_operativo,
,ciclo_caja,
,anos_d_estr,
,Generacion_T_CAJA,
,DEUDA_ESTRUCTURAL,
,deuda_ebitda,
,ventas12M,
,utinet12M,
,EBITDA12M,
2018-08-01 00:00:00,PATRIMONIO,226274191.8
,RESULTEX,958749.2
,ACTIVO_T,405927687.4
,PASIVO_T,178694746.4
,PATRIMONIO_T,227232941
,Activo Biológico,89980158.39
,Capital Social,69449428.39
,Cuentas por Cobrar Comerciales,19728171.84
,Cuentas por Cobrar a Relacionadas,3313785.35
,Cuentas por Pagar Comerciales,12010737.04
,Cuentas por Pagar a Relacionadas,131220.94
,Efectivo y Equivalente de Efectivo,2370803.54
,Existencias,15842909.34
,Gastos Pagados por Anticipado y Otros Activos,10091861.61
,Impuestos por Recuperar,0
,"Inmueble, Maquinaria y Equipo, Neto",133626330.1
,Instrumento Financiero Derivados,1156349.84
,Instrumentos Financieros Derivados,24577.4
,Inversiónes Mobiliarias,89718817.53
,Obligaciones Financieras,135798500.5
,Otras Cuenta por Cobrar Largo Plazo,305187.37
,Otras Cuentas por Pagar,-5706094.12
,Otras Cuentas por Pagar Largo Plazo,16878008.19
,Parte Corriente de Activo Biológico,40925084.92
,Pasivo por Impuesto a la Renta Diferido,11625472.94
,Porcion Corriente de Obligaciones Financieras,6716073.06
,Reserva Legal,34978930.77
,Resultados Acumulados,121845832.6
,Sobregiros Bancarios,84478.02
,ACTIVO_CORR,92297194
,ACTIVO_NCORR,313630493.4
,PASIVO_CORR,14392764.78
,PASIVO_NCORR,164301981.6
,CxC,23041957.19
,INVENTARIOS,56767994.26
,CxP,6435863.86
,CAPEX,77904429.22
,ACT_FIJ,313325306
,CASH,2370803.54
,DEUDA_TOT,142599051.6
,Cambios en el Valor Razonable de Activos Biológicos,0
,Costo de Venta - NIC 41,-3339240.7
,Costo de Ventas,-37411236.68
,Depr. De Gastos de Administración,-344886.51
,Depr. De Gastos de Venta,-17180.95
,"Diferencia de Cambio, Neta",-1298314.6
,Gastos Financieros,-2013819.48
,Gastos de Administración,-9508004.57
,Gastos de Venta,-8144266.15
,Impuesto a la Renta Corriente,0
,Impuesto a la Renta Diferido,0
,Ingresos Financieros,22107.11
,"Instrumentos Financieros, Netos",467282.82
,Otros Gastos,-697315.71
,Otros Gastos - NIC 41,-1709844.03
,Otros Ingresos,1758705.21
,Restitución de Derechos Arancelarios,1219046.39
,Ventas,61975717.05
,uti_bruta,22444286.06
,EBIT,3781493.35
,EBITDA,4143560.81
,EBT,958749.2
,uti_neta,958749.2
,costo_venta,-40750477.38
,EBDA,1320816.66
,ratio_liquidez,6.41274942
,ratio_rapido,2.468545848
,ratio_cash,0.164721899
,deuda_activos,0.35129176
,deuda_patrimonio,0.627545685
,apalancamiento,1.78639455
,cobertura_int,
,DEUDA_ESTR,
,CAP_EMPL,
,mg_ebitda,
,carga_impositiva,
,carga_intereses,
,mg_bruto,
,mg_neto,
,mg_operativo,
,ROA,
,ROE,
,ROCE,
,rotacion_trabajo,
,rotacion_fijos,
,rotacion_activos,
,rotacion_cxc,
,rotacion_inventarios,
,rotacion_cxp,
,dias_inventario,
,dias_cxc,
,dias_cxp,
,ciclo_operativo,
,ciclo_caja,
,anos_d_estr,
,Generacion_T_CAJA,
,DEUDA_ESTRUCTURAL,
,deuda_ebitda,
,ventas12M,
,utinet12M,
,EBITDA12M,
2018-09-01 00:00:00,PATRIMONIO,226274191.8
,RESULTEX,1456022.32
,ACTIVO_T,420587972.3
,PASIVO_T,192857758.2
,PATRIMONIO_T,227730214.1
,Activo Biológico,89799777.06
,Capital Social,69449428.39
,Cuentas por Cobrar Comerciales,24238303.94
,Cuentas por Cobrar a Relacionadas,4462417.28
,Cuentas por Pagar Comerciales,18828798.21
,Cuentas por Pagar a Relacionadas,132092.57
,Efectivo y Equivalente de Efectivo,5780960.52
,Existencias,15890444.49
,Gastos Pagados por Anticipado y Otros Activos,9940320.84
,Impuestos por Recuperar,0
,"Inmueble, Maquinaria y Equipo, Neto",133650326.3
,Instrumento Financiero Derivados,1158906.28
,Instrumentos Financieros Derivados,73947.23
,Inversiónes Mobiliarias,89718817.53
,Obligaciones Financieras,142696946.7
,Otras Cuenta por Cobrar Largo Plazo,304294.4
,Otras Cuentas por Pagar,-5110417.89
,Otras Cuentas por Pagar Largo Plazo,16762505.98
,Parte Corriente de Activo Biológico,46728362.72
,Pasivo por Impuesto a la Renta Diferido,11625472.94
,Porcion Corriente de Obligaciones Financieras,6724218.69
,Reserva Legal,34978930.77
,Resultados Acumulados,121845832.6
,Sobregiros Bancarios,39234.76
,ACTIVO_CORR,107114757
,ACTIVO_NCORR,313473215.3
,PASIVO_CORR,21772832.62
,PASIVO_NCORR,171084925.6
,CxC,28700721.22
,INVENTARIOS,62618807.21
,CxP,13850472.89
,CAPEX,85341924.4
,ACT_FIJ,313168920.9
,CASH,5780960.52
,DEUDA_TOT,149460400.1
,Cambios en el Valor Razonable de Activos Biológicos,0
,Costo de Venta - NIC 41,-3746436.55
,Costo de Ventas,-45334327.02
,Depr. De Gastos de Administración,-387729.47
,Depr. De Gastos de Venta,-19376.2
,"Diferencia de Cambio, Neta",-1549223.37
,Gastos Financieros,-2022578.9
,Gastos de Administración,-10477456.82
,Gastos de Venta,-9391737.39
,Impuesto a la Renta Corriente,0
,Impuesto a la Renta Diferido,0
,Ingresos Financieros,28508.41
,"Instrumentos Financieros, Netos",427921
,Otros Gastos,-697315.71
,Otros Gastos - NIC 41,-1709844.03
,Otros Ingresos,2406693.58
